
我不要变呆瓜,8880452876,陕西,这个melody是我认识的那个吗！,6130502233,0,2024-06-12 17:42:03
Lia-huil,380279485,北京,好像突然间断联都是正常的,6130449695,0,2024-06-12 14:54:13
HanYuYing_,1886884681,山东,评论一下增加亲密度,6130424162,0,2024-06-12 13:16:52
涛wlin,10059498009,山东,什么文案一眼就哭.,6130415182,0,2024-06-12 12:48:37
可怎能知道兔子是真的爱胡萝卜呢,336798603,江苏,真会胡吊扯,6130376878,1,2024-06-12 11:01:37
樱落已成空,315649097,浙江,谢谢你,6130347789,0,2024-06-12 09:09:53
0622w,3345500604,黑龙江,真的,6130337454,0,2024-06-12 08:41:56
dvPw_,1342015796,吉林,文字有时候太贫瘠 有些感情太浓太重 像一团棉花堵在心口 你问我想要说什么 我不知道 于是我看着你 突然就好想叹口,6130261603,0,2024-06-12 01:00:11
阿降_J,1788160258,湖北,就是在找这条评论[多多大哭][多多大哭],6130167935,0,2024-06-11 22:10:34
_QueenKitty,3400570181,江苏,hi,6130098871,0,2024-06-11 20:02:47
BadBoyjfy,1441068297,未知,失去你之后 我才发现自己有多爱你,6130049713,0,2024-06-11 18:27:58
爆浆鸡肘,3270815459,天津,哈哈哈哈哈哈,6129963189,0,2024-06-11 13:51:05
不可定义的冬,5148255642,广东,真的很喜欢,6129689092,1,2024-06-10 22:35:05
Hoyonn,1573675554,江西,好,6129629406,0,2024-06-10 20:52:36
芝士麦浪,499219535,浙江,整天爱来爱去的，上两天班就老实了[多多捂脸],6129615346,15,2024-06-10 20:27:56
-Makemoretime-,132890260,江苏,情意总雷同，恨意千万种,6129583386,0,2024-06-10 19:20:17
Zackwww,571359240,浙江,随便7,6129484721,0,2024-06-10 15:53:14
奥瑞汁R,1880334365,天津,抢不到票啊[流泪],6129438582,0,2024-06-10 14:23:47
结局是be__,2100265866,重庆,失去你我才知道要珍惜,6129398883,1,2024-06-10 13:04:43
7Y_icok,9255503460,广西,人生第一课 接受任何人的离开.,6129275377,3,2024-06-10 09:03:23
花样丶小孩,4983723487,湖北,突然声音好熟悉 才发现一直找的是这首歌,6129218608,0,2024-06-10 04:39:47
-Klaus-L,536681670,上海,真的好适合一个人晚上听,6129132436,0,2024-06-10 00:37:25
_iU_squt,1450439138,辽宁,失去你我才知道要珍惜,6129063859,0,2024-06-09 23:07:08
-2Yui,3291967021,江苏,想看着你 我爱的脸,6128941043,4,2024-06-09 19:48:33
洛神赋陌岑,1441027899,未知,不要把自己困住啦！走出来吧！[爱心],6128872330,0,2024-06-09 17:31:14
海与橘,1566593752,辽宁,上两天班就考试,6128816462,0,2024-06-09 15:35:45
风也kyn,1441168311,未知,我以为我放下了 但是看见你和别人在一起的时候 我还是会很难过,6128805293,0,2024-06-09 15:15:03
落日守望尾迹,3378953644,广东,这首歌真的是我最喜欢的 纯爱战士！,6128783957,2,2024-06-09 14:26:11
阿音是我妻,9897962353,广西,其实路早就走歪了只是看看我能走多久,6128695675,0,2024-06-09 11:28:39
谭咩咩今天吃了吗,8886223246,重庆,这首真的好听啊啊啊啊啊啊啊,6128672466,3,2024-06-09 10:39:35
t胖头鱼,1593005807,广东,点了,6128526698,0,2024-06-09 01:54:12
7w1ko,1525555926,湖北,陶吉吉你真的迷人！,6128485033,4,2024-06-09 00:27:19
江舟摇花手,1701420000,江西,@蓝羽晨,6128479933,0,2024-06-09 00:20:42
小羊明白了,1434881756,湖南,原来一直从未忘记你,6128454334,0,2024-06-08 23:49:21
小宋爱小烊_4X,1507592314,湖北,明白,6128450389,0,2024-06-08 23:43:20
哦哦哦_1tJj,9290523063,广东,学会了，同学录知道血型怎么写了,6128397535,0,2024-06-08 22:22:49
小舌甘馨崽,2020340226,湖南,哈哈哈哈哈哈哈哈[憨笑][憨笑][憨笑],6128296263,0,2024-06-08 19:17:46
至尊开位御主偷税,1441175230,未知,可是真正拥有的不会珍惜啊[流泪],6128067671,0,2024-06-08 15:08:44
kxschiufhivd,448447163,浙江,我：S&B,6128067022,3,2024-06-08 14:59:59
kxschiufhivd,448447163,浙江,我们陶比特针事太油菜花辣,6128066986,0,2024-06-08 14:59:30
Newluvu2seto,1960115119,广东,melody,6127988076,0,2024-06-08 12:13:52
不剪头发-,1420613234,湖北,想二熙妹妹 想回家 都说趋于幸福的时候最幸福 可是有他在身边就是幸福 至少我现在这么认为 会鼓励我夸夸我 记录属于我们的所有 让遵义的向日葵在武汉生根发芽 你经常说没有我就没有现在的你 可是你从来都不知道 遇到你我又爱上了自己 我从不后悔去年的夏天走进1985 晚安 明天还要去图书馆。,6127810850,0,2024-06-08 01:50:21
li丽安,1889690878,湖南,如果真的很喜欢过我 伤心就为这一段感情遗憾如果是骗我 那就好聚好散,6127805712,0,2024-06-08 01:47:33
li丽安,1889690878,湖南,遇见了一个很喜欢陶喆并以为能以后会走很久的人 永远记得他说不敢看我的眼睛相识相知不到20天就结束了 理由是两个人不同频 有时候会想什么是真的喜欢可能就是礼貌性觉得可以然后礼貌性结束朋友和我说喜欢其实只能给刚刚好维持两个人在一起等7月份看完陶喆演唱会就会真正释怀了,6127806567,3,2024-06-08 01:45:40
不想冲黑胶,1975586417,江苏,好听捏,6127695680,1,2024-06-07 22:42:41
是怡怡怡怡宝,456116591,宁夏,是，因为生活也很苦，爱情也很苦。常常会想，如果有一个很好的爱人，生活的苦，会不会少一点。后来才发现，这两件事的苦合在一起会大于二。找一个可以分担的人，是不是真的很难？,6127572952,0,2024-06-07 19:19:06
Eazin-TTE,4913966729,福建,朱朱,6127559603,0,2024-06-07 18:58:29
